label_class,text,randnum
量刑标准,串通投标罪判刑多少年,7.35791E-05
量刑标准,非法出借枪支罪既遂怎么定罪处罚?,0.00011295
其它,您好，请问诈骗320元构成犯罪吗,0.000204161
量刑标准,盗掘古人类化石罪刑法的量刑标准?,0.000241933
量刑标准,变造国家机关证件罪既遂量刑处罚?,0.001523381
量刑标准,非法运输制毒物品罪法院会判多久?,0.001660384
其它,刑满释放不去报道行吗,0.001835235
特征,盗掘古文化遗址罪的四要件是哪些?,0.002061785
法律条文,"二次醉酒驾驶怎么处理,怎么规定的",0.00254956
量刑标准,逃避商检罪如何量刑?,0.004325653
法律条文,徇私舞弊假释罪刑事责任如何追究?,0.00439426
特征,您好过失损坏易燃易爆设备罪有什么特征,0.004589984
概念,能否告知非法出售用于骗取出口退税、抵扣税款发票罪的概念,0.005017028
其它,请问吸毒是不是违法的,0.005617524
特征,盗掘古人类化石罪的犯罪构成要件?,0.005738977
量刑标准,一般违规制造枪支罪是怎么处罚的?,0.006141704
其它,经济犯罪的特征有哪些,0.006765331
量刑标准,拒不执行判决、裁定罪会判得重吗?,0.007212547
量刑标准,犯了变造身份证件罪怎么量刑处罚?,0.007559643
法律条文,开设赌场罪会被判刑吗,0.007565006
其它,刑事案件口供可以改吗,0.008132445
法律条文,什么标准下拒不执行裁定罪才立案?,0.008139861
从属,枉法仲裁罪属于什么罪,0.008419849
量刑标准,醉驾自己受伤怎么服刑,0.00858945
量刑标准,非法买卖警用装备罪既遂怎么判刑?,0.00863678
量刑标准,你好消防责任事故罪的量刑是什么,0.009361138
量刑标准,虚报注册资本罪既遂处罚标准细分?,0.00942491
量刑标准,问一下做兼职不小心涉及诈骗如何判,0.010314456
量刑标准,构成拒不执行裁定罪既遂怎么处罚?,0.010403757
其它,醉驾出交通事故怎么办,0.01159071
量刑标准,"走私淫秽物品如何处罚,有哪些规定",0.011832369
法律条文,"合同纠纷会不会被判刑,怎么规定的",0.01232217
其它,被骗了注册公司怎么办,0.012672539
量刑标准,毁灭国家机关印章罪既遂如何处罚?,0.012907729
