label_class text
从属 故意伤害罪是哪种犯罪
从属 请教一下私自开拆、隐匿、毁弃邮件、电报罪的一级罪名是
从属 出版歧视、侮辱少数民族作品罪是哪种类型的罪名
从属 冒昧问一下非法转让、倒卖土地使用权罪的上级罪名是什么
从属 妨害公务罪的上级罪名是什么
从属 非法出售、私赠文物藏品罪是哪种类型的罪名
从属 您好走私假币罪的上级罪名是什么
从属 窝藏、转移、隐瞒毒品、毒赃罪属于哪种罪名
从属 请教一下引诱、容留、介绍卖淫罪属于哪种罪名
从属 请教一下非法搜查罪的上级罪名是什么
从属 妨害信用卡管理罪是什么类别
从属 打扰问一下背叛国家罪属于什么犯罪类型
从属 你好采集、供应血液、制作、供应血液制品事故罪的一级罪名是
从属 冒昧问一下破坏交通工具罪是什么类别
从属 你好，麻烦问一下虐待罪属于什么犯罪类型
从属 冒昧问一下非法收购、运输盗伐、滥伐的林木罪是哪种犯罪类型
从属 请问引诱幼女卖淫罪的上级罪名是什么
从属 您好滥用职权罪属于哪类罪名
从属 请问放纵走私罪属于什么犯罪类型
从属 打扰问一下非法携带枪支弹药管制刀具、危险物品危及公共安全罪是哪种类型的罪名
从属 冒昧问一下失职造成珍贵文物损毁、流失罪是什么类别
从属 请教一下背信运用受托财产罪属于什么罪
从属 受贿罪属于什么犯罪类型
从属 冒昧问一下虚假广告罪属于什么犯罪类型
从属 枉法仲裁罪属于什么罪
从属 破坏易燃易爆设备罪是什么类型的罪名
从属 制作、复制、出版、贩卖、传播淫秽物品牟利罪是哪种犯罪类型
从属 高利转贷罪属于哪类罪名
从属 过失提供不合格武器装备、军事设施罪属于什么罪
从属 请教一下武装叛乱、暴乱罪的一级罪名是
从属 您好强迫卖血罪属于什么罪
从属 请问传染病菌种、毒种扩散罪属于什么罪
从属 问一下对单位行贿罪是哪个类别的罪名
从属 拐卖妇女、儿童罪属于哪类罪名
从属 问一下受贿罪是哪种类型的罪名
从属 生产、销售劣药罪属于哪种罪名
从属 问一下擅自设立金融机构罪属于什么犯罪类型
从属 教育设施重大安全事故罪是哪种犯罪类型
从属 请教一下丢失枪支不报罪属于哪类罪名
从属 擅自出卖、转让国有档案罪属于哪类罪名
从属 问一下制作、复制、出版、贩卖、传播淫秽物品牟利罪属于什么犯罪类型
从属 生产、销售假药罪的上级罪名是什么
从属 非法吸收公众存款罪属于什么罪
从属 打扰问一下故意毁坏财物罪属于哪种罪名
从属 你好，麻烦问一下假冒专利罪属于什么罪
从属 聚众淫乱罪是哪种犯罪类型
从属 你好，麻烦问一下遗弃伤病军人罪是什么类型的罪名
从属 请教一下非法经营同类营业罪属于什么犯罪类型
从属 请教一下枉法仲裁罪属于什么罪
从属 请问伪证罪属于什么罪
从属 包庇毒品犯罪分子罪是什么类型的罪名
从属 问一下招收公务员、学生徇私舞弊罪是什么类型的罪名
从属 拒不执行判决、裁定罪属于哪类罪名
从属 问一下侵犯通信自由罪属于哪种罪名
从属 请问妨害国境卫生检疫罪是什么类型的罪名
从属 问一下非法批准征用、占用土地罪是哪种犯罪类型
从属 您好持有、使用假币罪是哪种犯罪类型
从属 分裂国家罪属于什么罪
从属 背信运用受托财产罪属于什么罪
从属 你好，麻烦问一下虚假广告罪是哪种类型的罪名
从属 违规披露、不披露重要信息罪是哪个类别的罪名
从属 请教一下徇私枉法罪的一级罪名是
从属 非法向外国人出售、赠送珍贵文物罪是哪种犯罪类型
从属 辩护人诉讼代理人毁灭证据伪造证据妨害作证罪属于什么罪
从属 冒昧问一下组织播放淫秽音像制品罪属于哪类罪名
从属 打扰问一下过失泄露国家秘密罪属于哪类罪名
从属 请教一下放纵走私罪的一级罪名是
从属 问一下违令作战消极罪是哪种类型的罪名
从属 请问战时拒绝、逃避服役罪是哪种类型的罪名
从属 您好非法出卖、转让武器装备罪的上级罪名是什么
从属 引诱、教唆、欺骗他人吸毒罪是哪种犯罪类型
从属 请教一下破坏监管秩序罪的一级罪名是
从属 冒昧问一下资敌罪是哪种犯罪类型
从属 您好丢失枪支不报罪是什么类型的罪名
从属 侮辱国旗、国徽罪是哪种犯罪类型
从属 请问非法处置进口的固体废物罪的一级罪名是
从属 非法持有、私藏枪支、弹药罪的一级罪名是
从属 请问过失损坏电力设备罪是哪个类别的罪名
从属 冒昧问一下军人叛逃罪是什么类别
从属 请教一下非法持有毒品罪属于什么犯罪类型
从属 请问职务侵占罪属于什么罪
从属 问一下伪证罪是哪种犯罪类型
从属 你好，麻烦问一下破坏电力设备罪的上级罪名是什么
从属 问一下虚假诉讼罪是哪个类别的罪名
从属 冒昧问一下战时残害居民、掠夺居民财物罪的一级罪名是
从属 擅自出卖、转让国有档案罪属于什么罪
从属 冒昧问一下非法生产、销售间谍专用器材罪是哪种类型的罪名
从属 您好接送不合格兵员罪属于哪种罪名
从属 请教一下阻碍军人执行职务罪属于哪种罪名
从属 你好，麻烦问一下雇用童工从事危重劳动罪是哪种类型的罪名
从属 你好，麻烦问一下徇私枉法罪是哪个类别的罪名
从属 冒昧问一下滥用职权罪的一级罪名是
从属 打扰问一下遗弃伤病军人罪属于什么罪
从属 你好非法猎捕、杀害珍贵、濒危野生动物罪是什么类别
从属 请教一下过失损坏武器装备、军事设施、军事通信罪是哪个类别的罪名
从属 冒昧问一下骗取出境证件罪的一级罪名是
